日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
ひかりのこな,Bright Powder,Poudre Claire*,Blendpuder,Luminpolvere,Polvo Brillo,반짝가루,光粉,
せんせいのツメ,Quick Claw,Vive Griffe,Flinkklaue,Rapidartigli,Garra Rápida,선제공격손톱,先制之爪,
おうじゃのしるし,King's Rock,Roche Royale,King-Stein,Roccia Di Re,Roca del Rey,왕의징표석,王者之证,王者之證
ぎんのこな,Silver Powder,Poudre Argentée*,Silberstaub,Argenpolvere,Polvo Plata,은빛가루,银粉,銀粉
おまもりこばん,Amulet Coin,Piece Rune,Münzamulett,Monetamuleto,Moneda Amuleto,부적금화,护符金币,護符金幣
きよめのおふだ,Cleanse Tag,Rune Purifiante*,Schutzband,Velopuro,Amuleto,순결의부적,洁净之符,潔淨之符
けむりだま,Smoke Ball,Boule Fumée,Rauchball,Palla Fumo,Bola Humo,연막탄,烟雾球,煙霧球
かわらずのいし,Everstone,Pierre Stase,Ewigstein,Pietrastante,Piedra Eterna*,변함없는돌,不变之石,不變之石
きあいのハチマキ,Focus Band,Bandeau,Fokus-Band,Bandana,Cinta Focus,기합의머리띠,气势头带,氣勢頭帶
しあわせタマゴ,Lucky Egg,Œuf Chance,Glücks-Ei,Fortunuovo,Huevo Suerte,행복의알,幸运蛋,幸運蛋
ピントレンズ,Scope Lens,Lentilscope,Scope-Linse,Mirino,Periscopio,초점렌즈,焦点镜,焦點鏡
メタルコート,Metal Coat,Peau Metal,Metallmantel,Metalcoperta,Revest. Metálico*,금속코트,金属膜,金屬膜
たべのこし,Leftovers,Restes,Überreste,Avanzi,Restos,먹다남은음식,吃剩的东西,吃剩的東西
りゅうのウロコ,Dragon Scale,Écaille Draco*,Drachenhaut,Squama Drago,Escamadragón,용의비늘,龙之鳞片,龍之鱗片
でんきだま,Light Ball,Ballelumiere,Kugelblitz,Elettropalla,Bolaluminosa,전기구슬,电气球,電氣球
やわらかいすな,Soft Sand,Sable Doux,Pudersand,Sabbia Soffice*,Arena Fina,부드러운모래,柔软沙子,柔軟沙子
かたいいし,Hard Stone,Pierre Dure,Granitstein,Pietradura,Piedra Dura,딱딱한돌,硬石头,硬石頭
きせきのタネ,Miracle Seed,Grain Miracle*,Wundersaat,Miracolseme,Semilla Milagro,기적의씨,奇迹种子,奇跡種子
くろいメガネ,Black Glasses,Lunettes Noires*,Schattenglas,Occhialineri,Gafas de Sol,검은안경,黑色眼镜,黑色眼鏡
くろおび,Black Belt,Ceinture Noire*,Schwarzgurt,Cinturanera,Cinturón Negro,검은띠,黑带,黑帶
じしゃく,Magnet,Aimant,Magnet,Calamita,Imán,자석,磁铁,磁鐵
しんぴのしずく,Mystic Water,Eau Mystique,Zauberwasser,Acqua Magica*,Agua Mística,신비의물방울,神秘水滴,
するどいくちばし,Sharp Beak,Bec Pointu,Hackattack,Beccaffilato,Pico Afilado,예리한부리,锐利鸟嘴,銳利鳥嘴
どくバリ,Poison Barb,Pic Venin,Giftstich,Velenago,Flecha Venenosa,독바늘,毒针,毒針
とけないこおり,Never-Melt Ice,Glace Éternelle*,Ewiges Eis,Gelomai,Antiderretir,녹지않는얼음,不融冰,
のろいのおふだ,Spell Tag,Rune Sort,Bannsticker,Spettrotarga,Hechizo,저주의부적,诅咒之符,詛咒之符
まがったスプーン,Twisted Spoon,Cuiller Tordue*,Krümmlöffel,Cucchiaio Torto*,Cuchara Torcida,휘어진스푼,弯曲的汤匙,彎曲的湯匙
もくたん,Charcoal,Charbon,Holzkohle,Carbonella,Carbón,목탄,木炭,
りゅうのキバ,Dragon Fang,Croc Dragon,Drachenzahn,Dentedidrago,Colmillo Dragón*,용의이빨,龙之牙,龍之牙
ピンクのリボン,Pink Bow,Ruban Rose,Rosa Band,Fiocco Rosa,Lazo Rosa,핑크빛리본,粉红色丝带,
みずたまリボン,Polkadot Bow,Ruban a Pois,Punkt-Band,Fiocco Pois,Cintalunares,물방울리본,水玉色之带,
アップグレード,Up-Grade,Améliorator,Up-Grade,Upgrade,Mejora,업그레이드,升级数据,升級資料
ラッキーパンチ,Lucky Punch,Poing Chance,Lucky Punch,Fortunpugno,Puño Suerte,럭키펀치,吉利拳,
メタルパウダー,Metal Powder,Poudre Metal,Metallstaub,Metalpolvere,Polvo Metálico,금속파우더,金属粉,金屬粉
ふといホネ,Thick Club,Masse Os,Kampfknochen,Ossospesso,Hueso Grueso,굵은뼈,粗骨头,粗骨頭
ながねぎ,Stick2-7Leek8,Baton2-7Poireau8,Lauchstange,Gambo,Palo2-7Puerro8,대파,大葱,大蔥
はかいのいでんし,Berserk Gene,ADN Berzerk,Berserk-Gen,Gene Furioso,Gen Loco,파괴의유전자,破坏基因,破壞基因
しろいハーブ,White Herb,Herbe Blanche*,Schlohkraut,Erbachiara,Hierba Blanca,하양허브,白色香草,
きょうせいギプス,Macho Brace,Bracelet Macho*,Machoband,Crescicappa,Brazal Firme*,교정깁스,强制锻炼器,強制鍛鍊器
やすらぎのすず,Soothe Bell,Grelot Zen,Sanftglocke,Calmanella,Campana Alivio,평온의방울,安抚之铃,安撫之鈴
メンタルハーブ,Mental Herb,Herbe Mental,Mentalkraut,Mentalerba,Hierba Mental,멘탈허브,心灵香草,心靈香草
こだわりハチマキ,Choice Band,Bandeau Choix*,Wahlband,Bendascelta,Cinta Elegida,구애머리띠,讲究头带,講究頭帶
こころのしずく,Soul Dew,Rosée Âme,Seelentau,Cuorugiada,Rocío Bondad,마음의물방울,心之水滴,
しんかいのキバ,Deep Sea Tooth,Dent Océan,Abysszahn,Dente Abissi*,Diente Marino,심해의이빨,深海之牙,
しんかいのウロコ,Deep Sea Scale,Écaille Océan*,Abyssplatte,Squamabissi,Escama Marina,심해의비늘,深海鳞片,深海鱗片
シルクのスカーフ,Silk Scarf,Mouchoir Soie*,Seidenschal,Sciarpa Seta*,Pañuelo Seda,실크스카프,丝绸围巾,絲綢圍巾
かいがらのすず,Shell Bell,Grelot Coque,Seegesang,Conchinella,Campana Concha,조개껍질방울,贝壳之铃,貝殼之鈴
うしおのおこう,Sea Incense,Encens Mer,Seerauch,Marearoma,Incienso Marino*,바닷물향로,海潮薰香,
のんきのおこう,Lax Incense,Encens Doux,Laxrauch,Distraroma,Incienso Suave*,무사태평항로,悠闲薰香,悠閒薰香
あかいバンダナ,Red Scarf,Foul. Rouge,Roter Schal,Fascia Rossa,Pañuelo Rojo,빨강밴드,红色头巾,紅色頭巾
あおいバンダナ,Blue Scarf,Foul. Bleu,Blauer Schal,Fascia Blu,Pañuelo Azul,파랑밴드,蓝色头巾,藍色頭巾
ピンクのバンダナ,Pink Scarf,Foul. Rose,Rosa Schal,Fascia Rosa,Pañuelo Rosa,분홍밴드,粉红头巾,粉紅頭巾
みどりのバンダナ,Green Scarf,Foul. Vert,Grüner Schal,Fascia Verde,Pañuelo Verde,초록밴드,绿色头巾,綠色頭巾
きいろのバンダナ,Yellow Scarf,Foul. Jaune,Gelber Schal,Fascia Gialla,Pañuelo Amarillo,노랑밴드,黄色头巾,黃色頭巾
べにいろのたま,Red Orb,Orbe Rouge,Rote Kugel,Sfera Rossa,Esfera Roja,주홍구슬,朱红色宝珠,朱紅色寶珠
あいいろのたま,Blue Orb,Orbe Bleu,Blaue Kugel,Sfera Blu,Esfera Azul,쪽빛구슬,靛蓝色宝珠,靛藍色寶珠
ひのたまプレート,Flame Plate,Plaque Flam,Feuertafel,Lastrarogo,Tabla Llama,불구슬플레이트,火球石板,
しずくプレート,Splash Plate,Plaque Hydro,Wassertafel,Lastraidro,Tabla Linfa,물방울플레이트,水滴石板,
いかずちプレート,Zap Plate,Plaque Volt,Blitztafel,Lastrasaetta,Tabla Trueno,우뢰플레이트,雷电石板,雷電石板
みどりのプレート,Meadow Plate,Plaque Herbe,Wiesentafel,Lastraprato,Tabla Pradal,초록플레이트,碧绿石板,碧綠石板
つららのプレート,Icicle Plate,Plaque Glace,Frosttafel,Lastragelo,Tabla Helada,고드름플레이트,冰柱石板,
こぶしのプレート,Fist Plate,Plaque Poing,Fausttafel,Lastrapugno,Tabla Fuerte,주먹플레이트,拳头石板,拳頭石板
もうどくプレート,Toxic Plate,Plaque Toxic,Gifttafel,Lastrafiele,Tabla Tóxica,맹독플레이트,剧毒石板,劇毒石板
だいちのプレート,Earth Plate,Plaque Terre,Erdtafel,Lastrageo,Tabla Terrax,대지플레이트,大地石板,
あおぞらプレート,Sky Plate,Plaque Ciel,Wolkentafel,Lastracielo,Tabla Cielo,푸른하늘플레이트,蓝天石板,藍天石板
ふしぎのプレート,Mind Plate,Plaque Esprit*,Hirntafel,Lastramente,Tabla Mental,이상한플레이트,神奇石板,
たまむしプレート,Insect Plate,Plaquinsect,Käfertafel,Lastrabaco,Tabla Bicho,비단벌레플레이트,玉虫石板,玉蟲石板
がんせきプレート,Stone Plate,Plaque Roc,Steintafel,Lastrapietra,Tabla Pétrea,암석플레이트,岩石石板,
もののけプレート,Spooky Plate,Plaque Fantô,Spuktafel,Lastratetra,Tabla Terror,원령플레이트,妖怪石板,
りゅうのプレート,Draco Plate,Plaque Draco,Dracotafel,Lastradrakon,Tabla Draco,용의플레이트,龙之石板,龍之石板
こわもてプレート,Dread Plate,Plaque Ombre,Furchttafel,Lastratimore,Tabla Oscura,공포플레이트,恶颜石板,惡顏石板
こうてつプレート,Iron Plate,Plaque Fer,Eisentafel,Lastraferro,Tabla Acero,강철플레이트,钢铁石板,鋼鐵石板
あやしいおこう,Odd Incense,Encens Bizarre*,Schrägrauch,Bizzoaroma,Incienso Raro*,괴상한향로,奇异薰香,奇異薰香
がんせきおこう,Rock Incense,Encens Roc,Steinrauch,Roccioaroma,Incienso Roca*,암석향로,岩石薰香,
まんぷくおこう,Full Incense,Encens Plein,Lahmrauch,Gonfioaroma,Incienso Lento*,만복향로,饱腹薰香,飽腹薰香
さざなみのおこう,Wave Incense,Encens Vague,Wellenrauch,Ondaroma,Incienso Aqua*,잔물결향로,涟漪薰香,漣漪薰香
おはなのおこう,Rose Incense,Encens Fleur,Rosenrauch,Rosaroma,Incienso Floral*,꽃향로,花朵薰香,
こううんのおこう,Luck Incense,Encens Veine,Glücksrauch,Fortunaroma,Incienso Duplo*,행운의향로,幸运薰香,幸運薰香
きよめのおこう,Pure Incense,Encens Pur,Scheuchrauch,Puroaroma,Incienso Puro*,순결의향로,洁净薰香,潔淨薰香
プロテクター,Protector,Protecteur,Schützer,Copertura,Protector,프로텍터,护具,護具
エレキブースター,Electirizer,Électiriseur,Stromisierer,Elettritore,Electrizador,에레키부스터,电力增幅器,電力增幅器
マグマブースター,Magmarizer,Magmariseur,Magmaisierer,Magmatore,Magmatizador,마그마부스터,熔岩增幅器,
あやしいパッチ,Dubious Disc,CD Douteux,Dubiosdisc,Dubbiodisco,Discoxtraño,괴상한패치,可疑补丁,可疑修正檔
れいかいのぬの,Reaper Cloth,Tissu Fauche,Düsterumhang,Terrorpanno,Tela Terrible*,영계의천,灵界之布,靈界之布
するどいツメ,Razor Claw,Griffe Rasoir,Scharfklaue,Affilartigli,Garra Afilada*,예리한손톱,锐利之爪,銳利之爪
するどいキバ,Razor Fang,Croc Rasoir,Scharfzahn,Affilodente,Colmillo Agudo*,예리한이빨,锐利之牙,銳利之牙
まんまるいし,Oval Stone,Pierre Ovale,Ovaler Stein,Pietraovale,Piedra Oval,동글동글돌,浑圆之石,渾圓之石
こんごうだま,Adamant Orb,Orbe Adamant,Adamant-Orb,Adamasfera,Diamansfera,금강옥,金刚宝珠,金剛寶珠
しらたま,Lustrous Orb,Orbe Perlé,Weiß-Orb,Splendisfera,Lustresfera,백옥,白玉宝珠,白玉寶珠
はっきんだま,Griseous Orb,Orbe Platiné,Platinum-Orb,Grigiosfera,Griseosfera,백금옥,白金宝珠,白金寶珠
