日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
あくしゅう,Stench,Puanteur,Duftnote,Tanfo,Hedor,악취,恶臭,惡臭
あめふらし,Drizzle,Crachin,Niesel,Piovischio,Llovizna,잔비,降雨,降雨
かそく,Speed Boost,Turbo,Temposchub,Acceleratore,Impulso,가속,加速,加速
カブトアーマー,Battle Armor,Armurbaston,Kampfpanzer,Lottascudo,Armadura Batalla,전투무장,战斗盔甲,戰鬥盔甲
がんじょう,Sturdy,Fermeté,Robustheit,Vigore,Robustez,옹골참,结实,結實
しめりけ,Damp,Moiteur,Feuchtigkeit,Umidità,Humedad,습기,湿气,濕氣
じゅうなん,Limber,Échauffement,Flexibilität,Scioltezza,Flexibilidad,유연,柔软,柔軟
すながくれ,Sand Veil,Voile Sable,Sandschleier,Sabbiavelo,Velo Arena,모래숨기,沙隐,沙隱
せいでんき,Static,Statik,Statik,Statico,Elec. Estática,정전기,静电,靜電
ちくでん,Volt Absorb,Absorb Volt,Voltabsorber,Assorbivolt,Absorbe Elec,축전,蓄电,蓄電
ちょすい,Water Absorb,Absorb Eau,H2O-Absorber,Assorbacqua,Absorbe Agua,저수,储水,儲水
どんかん,Oblivious,Benêt,Dösigkeit,Indifferenza,Despiste,둔감,迟钝,遲鈍
ノーてんき,Cloud Nine,Ciel Gris,Wolke Sieben,Antimeteo,Aclimatación,날씨부정,无关天气,無關天氣
ふくがん,Compound Eyes,Œil Composé,Facettenauge,Insettocchi,Ojo Compuesto,복안,复眼,複眼
ふみん,Insomnia,Insomnia,Insomnia,Insonnia,Insomnio,불면,不眠,不眠
へんしょく,Color Change,Déguisement,Farbwechsel,Cambiacolore,Cambio Color,변색,变色,變色
めんえき,Immunity,Vaccin,Immunität,Immunità,Inmunidad,면역,免疫,免疫
もらいび,Flash Fire,Torche,Feuerfänger,Fuocardore,Absorbe Fuego,타오르는불꽃,引火,引火
りんぷん,Shield Dust,Écran Poudre,Puderabwehr,Polvoscudo,Polvo Escudo,인분,鳞粉,鱗粉
マイペース,Own Tempo,Tempo Perso,Tempomacher,Mente Locale,Ritmo Propio,마이페이스,我行我素,我行我素
きゅうばん,Suction Cups,Ventouse,Saugnapf,Ventose,Ventosas,흡반,吸盘,吸盤
