日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
はたく,Pound,Écras’Face,Pfund,Botta,Destructor,막치기,拍击,拍擊
からてチョップ,Karate Chop,Poing-Karaté,Karateschlag,Colpokarate,Golpe Kárate,태권당수,空手劈,空手劈
おうふくビンタ,Double Slap,Torgnoles,Duplexhieb,Doppiasberla,Doble Bofetón,연속뺨치기,连环巴掌,連環巴掌
れんぞくパンチ,Comet Punch,Poing Comète,Kometenhieb,Cometapugno,Puño Cometa,연속펀치,连续拳,連續拳
メガトンパンチ,Mega Punch,Ultimapoing,Megahieb,Megapugno,Megapuño,메가톤펀치,百万吨重拳,百萬噸重拳
ネコにこばん,Pay Day,Jackpot,Zahltag,Giornopaga,Día de Pago,고양이돈받기,聚宝功,聚寶功
ほのおのパンチ,Fire Punch,Poing de Feu,Feuerschlag,Fuocopugno,Puño Fuego,불꽃펀치,火焰拳,火焰拳
れいとうパンチ,Ice Punch,Poing-Glace,Eishieb,Gelopugno,Puño Hielo,냉동펀치,冰冻拳,冰凍拳
かみなりパンチ,Thunder Punch,Poing-Éclair,Donnerschlag,Tuonopugno,Puño Trueno,번개펀치,雷电拳,雷電拳
ひっかく,Scratch,Griffe,Kratzer,Graffio,Arañazo,할퀴기,抓,抓
はさむ,Vise Grip,Force Poigne,Klammer,Presa,Agarre,찝기,夹住,夾住
ハサミギロチン,Guillotine,Guillotine,Guillotine,Ghigliottina,Guillotina,가위자르기,断头钳,斷頭鉗
かまいたち,Razor Wind,Coupe-Vent,Klingensturm,Ventagliente,Viento Cortante,칼바람,旋风刀,旋風刀
つるぎのまい,Swords Dance,Danse-Lames,Schwerttanz,Danzaspada,Danza Espada,칼춤,剑舞,劍舞
いあいぎり,Cut,Coupe,Zerschneider,Taglio,Corte,풀베기,居合斩,居合斬
かぜおこし,Gust,Tornade,Windstoß,Raffica,Tornado,바람일으키기,起风,起風
つばさでうつ,Wing Attack,Cru-Aile,Flügelschlag,Attacco d’Ala,Ataque Ala,날개치기,翅膀攻击,翅膀攻擊
ふきとばし,Whirlwind,Cyclone,Wirbelwind,Turbine,Remolino,날려버리기,吹飞,吹飛
そらをとぶ,Fly,Vol,Fliegen,Volo,Vuelo,공중날기,飞翔,飛翔
しめつける,Bind,Étreinte,Klammergriff,Legatutto,Atadura,조이기,绑紧,綁緊
